t/tau_0 k_BT_k/epsilon

0.1 1.037170687539178
0.2 1.0465357075429769
0.3 1.0611548527782118
0.4 1.0437226506105164
0.5 1.0523401358297941
0.6 1.0491626852788671
0.7 1.0523997615430427
0.8 1.0516269098218738
0.9 1.056457249981465
1.0 1.0533728571962928
1.1 1.0544749024234885
1.2 1.046484237986633
1.3 1.046508410103074
1.4 1.0339931411448118
1.5 1.0244498119928012
1.6 1.0440162361304224
1.7 1.0392549204731023
1.8 1.033491916512656
1.9 1.0346689002225684
2.0 1.0196376245219614
2.1 0.9974559984324444
2.2 0.9882949848162743
2.3 0.9936806701306449
2.4 1.004446299579374
2.5 0.997465600146727
2.6 0.9905659036662586
2.7 1.0073924832934564
2.8 0.999709672228757
2.9 0.9843452745664003
3.0 0.9863488500826092
3.1 0.9841912260615526
3.2 0.9871827880459298
3.3 0.9934861303735832
3.4 0.9830193044643234
3.5 0.9819739469222768
3.6 0.989780739582822
3.7 0.9949799654707949
3.8 0.9992146207591132
3.9 0.9846546612678765
4.0 0.9797823323298749
4.100000000000001 0.9758859750610205
4.2 0.9762975522351958
4.3 0.9804981502937812
4.4 0.9781318476985064
4.5 0.990500081914927
4.600000000000001 0.9978633733177938
4.7 0.99242105671487
4.800000000000001 0.9953530741476783
4.9 0.995308223623695
5.0 0.9952306931194572
5.100000000000001 0.9796444514371977
5.2 0.9876301616619789
5.300000000000001 0.989777040157804
5.4 0.9843335180008635
5.5 0.9748477049311575
5.600000000000001 0.9856037457368363
5.7 0.98601807242211
5.800000000000001 0.9988247749563053
5.9 0.9904130419322508
6.0 0.9944607628028338
6.100000000000001 1.0032538983329111
6.2 1.0146768458728308
6.300000000000001 1.007490683952809
6.4 1.0015631037860366
6.5 1.007297442915672
6.600000000000001 1.0003866369917194
6.7 0.9931267262781354
6.800000000000001 0.9820807169833785
6.9 0.9766882334385887
7.0 0.9607758192464255
7.100000000000001 0.9606479247245577
7.2 0.9635127016901983
7.300000000000001 0.963523597944457
7.4 0.9724386557850512
7.5 0.9750143522454936
7.600000000000001 0.9702612168600204
7.7 0.966271830030149
7.800000000000001 0.9665119019976272
7.9 0.9649586312265264
8.0 0.9647906347248048
8.1 0.9649570750505478
8.200000000000001 0.9712520184891421
8.3 0.967502806032947
8.4 0.9806421362154392
8.5 0.9762247735078565
8.6 0.9747071723371811
8.700000000000001 0.9739548453607763
8.8 0.977072899059554
8.9 0.9597466223725561
9.0 0.9631700705833662
9.1 0.9672848998988229
9.200000000000001 0.9579583490504314
9.3 0.9559489399221851
9.4 0.9630382036197023
9.5 0.9614996393541311
9.600000000000001 0.9553669582144607
9.700000000000001 0.9587985912958785
9.8 0.9641923346121297
9.9 0.9630019342336202
10.0 0.9577112382229045
11.0 0.9536423259814146
12.0 0.981293191752035
13.0 0.9654802368637896
14.0 0.9692982798469153
15.0 0.9456281515537015
16.0 0.9531079675245164
17.0 0.9703947590087516
18.0 0.9724214749861859
19.0 0.9932007539934616
20.0 0.97305696658331
21.0 0.9880636253261507
22.0 1.0151964777806146
23.0 1.012031354173268
24.0 1.0206769954431951
25.0 1.0035554113089904
26.0 0.9814007712859117
27.0 0.9553574460122676
28.0 0.9760788691284319
29.0 0.967133318572116
30.0 0.9358626165440533
31.0 0.9490775390573665
32.0 0.944377168056435
33.0 0.9104520667605733
34.0 0.9386961944736896
35.0 0.9452895744371403
36.0 0.9558072835675778
37.0 0.9531664253748524
38.0 0.9433433946438626
39.0 0.943205486278127
40.0 0.937770608925884
41.0 0.9528520579578567
42.0 0.9206205112289702
43.0 0.9096838841271392
44.0 0.9333873732637248
45.0 0.9308941360491062
46.0 0.9331249301365538
47.0 0.919793137595452
48.0 0.9350337062065959
49.0 0.8865348673829436
50.0 0.8620695043456568
51.0 0.8682662359499185
52.0 0.8836791953772236
53.0 0.8661640819178759
54.0 0.8566130347975575
55.0 0.8676163416115757
56.0 0.8437662772826574
57.0 0.8588736368066232
58.0 0.8461282005846826
59.0 0.8567907862010337
60.0 0.8971425378917723
61.0 0.8977451696929444
62.0 0.8817096025790956
63.0 0.857192917905244
64.0 0.8543707972594626
65.0 0.8375913566574699
66.0 0.8383636576487072
67.0 0.815901552865626
68.0 0.8062825651451846
69.0 0.8159113963900196
70.0 0.797369892549642
71.0 0.8050178072183698
72.0 0.7772701628687404
73.0 0.777318357100191
74.0 0.772858700432017
75.0 0.7865635394714
76.0 0.7822213585480396
77.0 0.7695780155977564
78.0 0.7786534571543942
79.0 0.7684743506426278
80.0 0.7771483146500934
81.0 0.7769330052268736
82.0 0.7751368016262223
83.0 0.7840282639986512
84.0 0.7451443487019622
85.0 0.7380054732288008
86.0 0.7164876874984738
87.0 0.7116400352477414
88.0 0.6868593397292113
89.0 0.6704435580257494
90.0 0.6608395974453651
91.0 0.6477464005328823
92.0 0.640227902842251
93.0 0.6547235173905712
94.0 0.6172798772050104
95.0 0.5537357545623702
96.0 0.5014773226685983
97.0 0.42473595322792185
98.0 0.35817318787994
99.0 0.291621577119738
100.0 0.1832476200724742
101.0 0.1078415476496308
102.0 0.0438043604396822
103.0 0.0124709985327986
104.0 0.0071349020598112005
105.0 0.0011042835432304
106.0 0.00014944852609659998
107.0 2.02256586086e-05
108.0 2.7372452364e-06
109.0 3.704458594e-07
110.0 5.0134395399999994e-08
